Store,Size,Type_A,Type_B,Type_C,Size_log
1,151315.0,True,False,False,11.927125644350527
2,202307.0,True,False,False,12.2175465676038
3,37392.0,False,True,False,10.529238800109523
4,205863.0,True,False,False,12.234971035572823
5,34875.0,False,True,False,10.459554192547706
6,202505.0,True,False,False,12.218524794719412
7,70713.0,False,True,False,11.166398852083312
8,155078.0,True,False,False,11.95168994347932
9,125833.0,False,True,False,11.742718857002318
10,126512.0,False,True,False,11.748100348667986
11,207499.0,True,False,False,12.24288661865289
12,112238.0,False,True,False,11.628385805256967
13,219622.0,True,False,False,12.299667719016517
14,200898.0,True,False,False,12.210557573189842
15,123737.0,False,True,False,11.725921706032102
16,57197.0,False,True,False,10.954274211721634
17,93188.0,False,True,False,11.442384967957022
18,120653.0,False,True,False,11.700682224254122
19,203819.0,True,False,False,12.224992530382684
20,203742.0,True,False,False,12.224614674684712
21,140167.0,False,True,False,11.850596982166923
22,119557.0,False,True,False,11.691556888255283
23,114533.0,False,True,False,11.648627001128958
24,203819.0,True,False,False,12.224992530382684
25,128107.0,False,True,False,11.760628937144823
26,152513.0,True,False,False,11.935011674094628
27,204184.0,True,False,False,12.226781724619865
28,206302.0,True,False,False,12.23710124088284
29,93638.0,False,True,False,11.4472022423509
30,42988.0,False,False,True,10.66869954799624
31,203750.0,True,False,False,12.224653939066526
32,203007.0,True,False,False,12.22100066611441
33,39690.0,True,False,False,10.588879740723007
34,158114.0,True,False,False,11.9710778953574
35,103681.0,False,True,False,11.549083801523507
36,39910.0,True,False,False,10.594407254105722
37,39910.0,False,False,True,10.594407254105722
38,39690.0,False,False,True,10.588879740723007
39,184109.0,True,False,False,12.123288684051252
40,155083.0,True,False,False,11.951722184591253
41,196321.0,True,False,False,12.18751144734191
42,39690.0,False,False,True,10.588879740723007
43,41062.0,False,False,True,10.622862751712955
44,39910.0,False,False,True,10.594407254105722
45,118221.0,False,True,False,11.680319491846493
